,name,address,price_per_night
566,Gostinic,"Zheleznodorozhnaya Street 15/1 Novosibirsk  630132 Novosibirsk Oblast, Новосибирск",от 3806₽
567,«Лайк Хостел Новосибирск»,"ул. Овражная, 5, Новосибирск",от 2260₽
568,В гости на улице Вокзальная магистраль 11,"ул. Вокзальная магистраль, 11, Новосибирск",от 2875₽
569,Диван и чемодан на улице Ольги Жилиной 92А,"ул. Ольги Жилиной, 92А, Новосибирск",от 2438₽
570,Мини-Отель Зеленый Бор,"микрорайон Зеленый Бор, д.9, Новосибирск",от 2452₽
571,Элитная 3х квартира на ул. Советской с джакузи. Центральный район,"улицa Советская, д. 36/1, Новосибирск",от 11000₽
572,Гостиница Abnicum,"ул. Сибиряков-Гвардейцев, 56/3, Новосибирск",от 5348₽
573,Отель Антураж,"улица Новороссийская , д. 2, Новосибирск",от 2018₽
574,Бутик-отель Серебряная лошадь,"Владимировская улица, д. 4, Новосибирск",от 3615₽
575,Хостел CapsLock,"улица Блюхера, д.77, Новосибирск",от 2260₽
576,Eridan,"улица Немировича-Данченко, д.138, корп.1, Новосибирск",от 2883₽
577,Мини-отель ФлаНск на Крылова,"улица Крылова, д.34, Новосибирск",от 2586₽
578,Апарт-отель Гостиниц.net,"Железнодорожный район, Железнодорожная улица, 15/1, Новосибирск",от 3169₽
579,Хостел Вавилон,"площадь Карла Маркса, д. 2, Новосибирск",от 2575₽
580,Гостиничный комплекс Аквилон,"улица Бродского, д. 11, Новосибирск",от 2307₽
581,Мини-Отель Клуб Путешественников,"Красный проспект, д.49, Новосибирск",от 2773₽
582,Гостевой дом «Лесная сказка»,"Елочка-2, Ольховая ул., 65, Новосибирск",от 1588₽
583,Лесная сказка,"ул. Попова, 12, Бердск",от 4533₽
584,Гостиница Северная,"пр-кт Дзержинского, 32, Новосибирск",от 3367₽
585,Отель Добролюбов,"​улица Инская, дом 143, Новосибирск",от 2933₽
586,Отель Атерра,"улица Писарева, д.1 А, Новосибирск",от 4200₽
587,Отель Аванта,"ул. Гоголя, д. 189/1, Новосибирск",от 5628₽
588,AZIMUT Отель Новосибирск,"ул. Ленина, д. 21, Новосибирск",от 4301₽
589,Апарт-отель BonApart,"улица Ядринцевская, д.71, Новосибирск",от 2774₽
590,Гостиница Центральная,"Улица Ленина, дом 3, Новосибирск",от 2530₽
591,Отель Cosmos Novosibirsk Hotel,"улица Дмитрия Шамшурина, дом 37, Новосибирск",от 5348₽
592,Отель DoubleTree by Hilton Novosibirsk,"ул. Каменская 7/1, Новосибирск",от 7650₽
593,Gorskiy city hotel,"улица Немировича-Данченко, д. 144а, Новосибирск",от 5348₽
594,Гостиница Н,"улица Фабричная, д.20, Новосибирск",от 3250₽
595,Апарт-отель Гостиниц net (Большевитская),"улица Большевитская, д.37, Новосибирск",от 2724₽
596,Апарт-отель Lucky Jet,"Железнодорожная улица 15/1, офис 29, 3 этаж, Новосибирск",от 2400₽
597,Отель  Николь,"улица Ядринцевская, д. 72, корп. 2, Новосибирск",от 3500₽
598,Отель Marins Park Hotel Novosibirsk,"Вокзальная магистраль, 1, Новосибирск",от 4223₽
599,Отель Гранд Автограф (бывший Марриотт),"улица Орджоникидзе, 31, Новосибирск",от 10485₽
600,Отель DK,"улица Выборная, д.29, Новосибирск",от 2575₽
601,Отель River Park,"Улица Добролюбова, д. 2, Новосибирск",от 4200₽
602,Отель Тор,"улица Дуси Ковальчук, д. 410/1, Новосибирск",от 3245₽
603,Barrakuda na Mendeleeva Hotel,"Mendeleeva 5, Новосибирск",от 4100₽
604,Хостел OVB,"ulitsa ZhKO Aeroport, 25/2 A, Обь",от 2476₽
