,name,address,price_per_night
379,Berdskaya zaimka,"2nd Lineynaya str, 1, Бердск",от 8648₽
380,Диван и чемодан на Галущака 15,"ул. Галущака, 15, Новосибирск",от 2223₽
381,Квартирка-НСК в Горском 75,"мкр. Горский, 75, Новосибирск",от 3174₽
382,Санаторий-профилакторий Бараба,"пер. Индустриальный, д.2, Барабинск",от 6783₽
383,Парус (Бердск),"633011, Новосибирская область, г. Бердск, ул. Красный Сокол, д. 29, Бердск",от 14601₽
384,Аризона,"улица Щетинкина, дом 34, Новосибирск",от 3202₽
385,Золотой берег,"ул. Софийская 19, Новосибирск",от 6783₽
386,Salvador Tikhiy Tsentr Apartment,"Ulitsa Derzhavina 47, Novosibirsk, Novosibirsk, Novosibirsk, Novosibirsk, Новосибирск",от 3090₽
387,Pillow-Lux apartments,"Narymskaya ul., 23, Novosibirsk, Novosibirskaya oblast', Russia, 630132, Новосибирск",от 3090₽
388,База Отдыха Дом Охотника,"село Сосновка, Боровое",от 4507₽
389,Центральная (быв.Колос),"ул. Ленина, д. 20, Краснозерское",от 4507₽
390,Жилые помещения Voskhod,"ul. Voskhod 3 Code 57k,ul. Voskhod, Новосибирск",от 3202₽
391,Гостиница Млечный путь,"Agafonova 1A, Новосибирск",от 3806₽
392,Бутик-отель Nord Castle,"ул. Аэропорт, 88/8, Новосибирск",от 6449₽
393,Хостел Новониколаевск,"улица Дуси Ковальчук, д. 16, Новосибирск",от 2260₽
394,Жилое помещение на Шамшурина,"улица Дмитрия Шамшурина, д. 1, Новосибирск",от 3389₽
395,Отель Романо Хаус,"Л. Толстого ул., д. 75, Новосибирск",от 4063₽
396,База отдыха Резиденция Сагиттариус,"улица Берёзовая, д.14/7, Новосибирск",от 3202₽
397,Truck House Отель,"Восточное шоссе, д.5, Новосибирск",от 3202₽
398,В гости на улице Челюскинцев 14,"ул. Челюскинцев, 14, Новосибирск",от 2829₽
399,В гости на улице Ленина 94,"ул. Ленина, 94, Новосибирск",от 3198₽
400,Жилые помещения Abazhur,"Ulitsa Mira 19, Новосибирск",от 2260₽
401,Квартирка-НСК в Горском 86,"мкр. Горский, 86, Новосибирск",от 3673₽
402,Metro Krasny Prospekt Apartment,"Ulitsa Gogolya 11А, 630091 Novosibirsk, Russia, Новосибирск",от 3090₽
403,Гостиница Ассоль,"улица Народная, д.20/1, Новосибирск",от 3202₽
404,Диван и чемодан на улице Дуси Ковальчук 260,"ул. Дуси Ковальчук, 260, Новосибирск",от 2261₽
405,Gostim on Blyukhera,"Ulitsa Blyukhera, 26, Новосибирск",от 3202₽
406,Жилые помещения Друзья,"Вокзальная магистраль 5, Новосибирск",от 2260₽
407,Сибирский Хостел,"Semyi Shamshinykh Street 16 Novosibirsk 630099,Semyi Shamshinykh Street, Новосибирск",от 2260₽
408,Vista Hotel Club,"Anzherskaya 49 Novosibirsk 630040,Anzherskaya, Новосибирск",от 3202₽
409,Диван и чемодан на Советской 50,"ул. Советская, 50, Новосибирск",от 2438₽
410,Gorod N Hostel,"Ulitsa Chelyuskintsev 24, Novosibirsk, Russia, Новосибирск",от 2260₽
411,Heart Of Academytown,"Ulitsatereshkovoy 44, Новосибирск",от 3202₽
