,name,uri,address,description,rating,latitude,longitude,restaurant_type,work_time,average_bill,cuisine
1792,Пеку-пеку,https://www.afisha.ru/novosibirsk/restaurant/peku-peku-490300/,"​Учительская, 24а",,0.0,55.0799537,82.9703023,Кофейня,пн-вс 7.30–21.00,,Неизвестно
1793,Пеку-пеку,https://www.afisha.ru/novosibirsk/restaurant/peku-peku-490301/,"​Геодезическая, 5",,0.0,54.9901342,82.9041902,Кофейня,пн-вс 7.30–21.30,,Неизвестно
1794,Пеку-пеку,https://www.afisha.ru/novosibirsk/restaurant/peku-peku-490302/,"​Кошурникова, 5, корп. 1",,0.0,55.0438782,82.9553726,Кофейня,пн-вс 7.30–21.30,,Неизвестно
1795,Пельмениссимо,https://www.afisha.ru/novosibirsk/restaurant/pelmenissimo-73990/,"Морской просп., 54, 2 этаж","Концепция семейного кафе в Верхней зоне Академгородка выстроена вокруг пиццы и пельменей. И то и другое готовят здесь же, на открытой кухне. Пельменей в меню — восемь видов, и главная гордость заведения —  «Радуга» трех цветов, раскрашенная исключительно натуральным способом. Рядом с пельменями — несколько видов вареников, «сытных» (с картофелем и беконом, с тушеной капустой и грудинкой) и сладких (с вишней, клубникой). Среди двенадцати видов пиццы особых изысков нет — оно и к лучшему. Отдельного внимания заслуживает страница с десертами «из советского детства»: пирожные «Ежик», «орешки» с вареной сгущенкой, чернослив со сметаной в креманке; в карте напитков есть компот из кураги и кефир, а газированные напитки здесь принципиально не предлагают. По выходным проходят мастер-классы для детей.",0.0,54.835207,83.097378,Ресторан,пн-вс 10.00–22.00,До 700 рублей,"Итальянская кухня, Пельмени, Пицца, Русская кухня"
1796,Пельмениссимо,https://www.afisha.ru/novosibirsk/restaurant/pelmenissimo-314078/,аэропорт Обь-4,,0.0,55.0095294,82.6712028,Ресторан,круглосуточно,До 700 рублей,"Итальянская кухня, Пельмени, Пицца, Русская кухня"
1797,Пельмения,https://www.afisha.ru/novosibirsk/restaurant/pelmeniia-483863/,"Фрунзе, 242",,0.0,55.0398582,82.9624124,Ресторан,пн-вс 11.00–23.00,До 700 рублей,"Грузинская кухня, Итальянская кухня, Китайская кухня, Паназиатская кухня, Пельмени, Русская кухня, Узбекская кухня, Украинская кухня, Хинкали, Японская кухня"
1798,Пельменная,https://www.afisha.ru/novosibirsk/restaurant/pelmennaia-349435/,"Нарымская, 17/1",,0.0,55.0409308,82.9066737,Ресторан,пн-вс 9.00–21.00,До 700 рублей,"Пельмени, Русская кухня"
1799,Пельмэн,https://www.afisha.ru/novosibirsk/restaurant/pelmen-73994/,"Челюскинцев, 9","Кафетерий неподалеку от вокзала — звучит именно так, как выглядит, что не отменяет хорошей кухни. Интерьер типа «хотелось стильно, но не нашлось денег» и назойливая поп-музыка из колонок компенсируются огромным выбором пельменей с разными начинками, соусами, зеленью. Обслуживание в «Пельмэне» быстрое, а еда сытная и не нанесет непоправимый урон бюджету. Правда, цветные пельмени выглядят как-то слишком уж ярко, так что за ними лучше все-таки в Академгородок.",0.0,55.0380002,82.8999539,Ресторан,пн-вс 9.00–0.00,До 700 рублей,"Европейская кухня, Пельмени, Русская кухня"
1800,Пенная пельменная,https://www.afisha.ru/novosibirsk/restaurant/pennaia-pelmennaia-349463/,"Фрунзе, 49/3",,0.0,55.0382366,82.9344182,Ресторан,пн-вс 10.00–21.00,До 700 рублей,"Пельмени, Русская кухня"
1801,Первая фитнес-кондитерская,https://www.afisha.ru/novosibirsk/restaurant/pervaia-fitnes-konditerskaia-493160/,"Советская, 65",,0.0,55.035498,82.91442,Кофейня,"пн-пт 9.00–20.30, сб-вс 10.00–20.30",,Торты на заказ
1802,Перекати-кофе,https://www.afisha.ru/novosibirsk/restaurant/perekati-kofe-74135/,"Советская, 64, БЦ «Советский»",,0.0,55.048568,82.9116109,Кофейня,"пн-пт 7.45–21.00, сб-вс 8.45–21.00",,Неизвестно
1803,Перекати-кофе,https://www.afisha.ru/novosibirsk/restaurant/perekati-kofe-74155/,"просп. Димитрова, 7, 1 этаж",,0.0,55.0349166,82.9117671,Кофейня,"пн-пт 7.45–19.00, сб 9.45–17.00",,Неизвестно
1804,Kuzina,https://www.afisha.ru/novosibirsk/restaurant/kuzina-406433/,"Вокзальная магистраль, 2",,0.0,55.0345476,82.9000166,Кондитерская,пн-вс 7.30–21.00,,Торты на заказ
1805,Kuzina,https://www.afisha.ru/novosibirsk/restaurant/kuzina-408512/,"Героев Революции, 64",,0.0,54.9763736,83.083268,Кондитерская,пн-вс 8.00–21.00,,Неизвестно
1806,Kuzina,https://www.afisha.ru/novosibirsk/restaurant/kuzina-457984/,"Тюленина, 24",,0.0,55.1111004,82.9375092,Кондитерская,пн-вс 8.00–21.00,,Торты на заказ
1807,Kuzina,https://www.afisha.ru/novosibirsk/restaurant/kuzina-457985/,"Одоевского, 1/8а",,0.0,54.9386498,83.1063258,Кондитерская,пн-вс 8.00–21.00,,Торты на заказ
1808,Kuzina,https://www.afisha.ru/novosibirsk/restaurant/kuzina-457987/,"пос. Кольцово, Никольский просп., 1, БЦ «Кольцово»",,0.0,54.939575,83.18963,Кондитерская,пн-вс 8.00–21.00,,Торты на заказ
1809,Kuzina,https://www.afisha.ru/novosibirsk/restaurant/kuzina-457989/,"Красный просп., 188",,0.0,55.0595385,82.9141892,Кондитерская,пн-вс 7.30–22.00,,Торты на заказ
1810,Kuzina,https://www.afisha.ru/novosibirsk/restaurant/kuzina-457990/,"Забалуева, 78",,0.0,54.9889163,82.8069247,Кондитерская,пн-вс 8.00–21.00,,Торты на заказ
