,Unnamed: 0.1,name,address,description
0,0,Гостиничный Комплекс 55 Широта,"улица Дениса Давыдова, д.1/3, Новосибирск","Гостиничный Комплекс 55 Широта по адресу улица Дениса Давыдова, д.1/3, Дзержинский, Калининский район, Новосибирск. Минимальная стоимость в отеле 'Гостиничный Комплекс 55 Широта' за ночь: от 3000₽"
1,1,AHOTELS Design Style Толстого,"Улица Толстого, д.56, Новосибирск","AHOTELS Design Style Толстого по адресу Улица Толстого, д.56, Октябрьский район, Новосибирск. Минимальная стоимость в отеле 'AHOTELS Design Style Толстого' за ночь: от 2614₽"
2,2,Апарт-отель Apartel,"Железнодорожная улица, д.15/1, Новосибирск","Апарт-отель Apartel по адресу Железнодорожная улица, д.15/1, Железнодорожный, Центральный район, Новосибирск. Минимальная стоимость в отеле 'Апарт-отель Apartel' за ночь: от 2721₽"
3,3,Гостиница Комфорт_Нск,"Улица Богдана Хмельницкого, д.96, Новосибирск","Гостиница Комфорт_Нск по адресу Улица Богдана Хмельницкого, д.96, Заельцовский, Калининский район, Новосибирск. Минимальная стоимость в отеле 'Гостиница Комфорт_Нск' за ночь: от 4150₽"
4,4,Отель ESENIN-LocuS,"улица Есенина, д.5/1, Новосибирск","Отель ESENIN-LocuS по адресу улица Есенина, д.5/1, Дзержинский, Октябрьский район, Новосибирск. Минимальная стоимость в отеле 'Отель ESENIN-LocuS' за ночь: от 2700₽"
5,5,Отель Глобус,"улица Лермонтова, д. 43, корп. 1, Новосибирск","Отель Глобус по адресу улица Лермонтова, д. 43, корп. 1, Центральный район, Новосибирск. Минимальная стоимость в отеле 'Отель Глобус' за ночь: от 3506₽"
6,6,Хостел Рус-Новосибирск,"улица Куприна, д.8/1, Новосибирск","Хостел Рус-Дзержинский район, Новосибирск по адресу улица Куприна, д.8/1, Дзержинский район, Новосибирск. Минимальная стоимость в отеле 'Хостел Рус-Дзержинский район, Новосибирск' за ночь: от 1677₽"
7,7,Отель Император,"улица Романова, д.99, Новосибирск","Отель Император по адресу улица Романова, д.99, Центральный район, Новосибирск. Минимальная стоимость в отеле 'Отель Император' за ночь: от 2814₽"
8,8,Отель Клуб Путешественников,"улица Фрунзе 2А, Новосибирск","Отель Клуб Путешественников по адресу улица Фрунзе 2А, Новосибирск. Минимальная стоимость в отеле 'Отель Клуб Путешественников' за ночь: от 2152₽"
9,9,No Bears (Ноу Беарс),"ул. Дмитрия Шамшурина, 1, Новосибирск","No Bears (Ноу Беарс) по адресу ул. Дмитрия Шамшурина, 1, Железнодорожный район, Новосибирск. Минимальная стоимость в отеле 'No Bears (Ноу Беарс)' за ночь: от 2260₽"
