,Unnamed: 0,name,address,description,longitude,latitude
215,215,Yousinn (Юсинн) на улице Выборной 89/2,"ул. Выборная, 89/2, Новосибирск","Yousinn (Юсинн) на улице Выборной 89/2 по адресу ул. Выборная, 89/2, Новосибирск. Минимальная стоимость в отеле 'Yousinn (Юсинн) на улице Выборной 89/2' за ночь: от 2803₽",83.013872,55.001545
216,216,Noj,"56 Inskaya St. Apt. 8 Novosibirsk,Inskaya St., Новосибирск","Noj по адресу 56 Inskaya St. Apt. 8 Novosibirsk,Inskaya St., Новосибирск. Минимальная стоимость в отеле 'Noj' за ночь: от 3202₽",82.936572,55.009936
217,217,Жилые помещения Putnik,"Yadrintsevskaya 18, Новосибирск","Жилые помещения Putnik по адресу Yadrintsevskaya 18, Новосибирск. Минимальная стоимость в отеле 'Жилые помещения Putnik' за ночь: от 2260₽",82.924697,55.033032
218,218,Жилые помещения Zori,"Ulitsa Sibiryakov-gvardeytsev 82, Новосибирск","Жилые помещения Zori по адресу Ulitsa Sibiryakov-gvardeytsev 82, Новосибирск. Минимальная стоимость в отеле 'Жилые помещения Zori' за ночь: от 2260₽",82.893408,54.933015
219,219,Как дома. Левый берег на Троллейная,"ул. Троллейная, 1, Новосибирск","Как дома. Левый берег на Троллейная по адресу ул. Троллейная, 1, Новосибирск. Минимальная стоимость в отеле 'Как дома. Левый берег на Троллейная' за ночь: от 2165₽",82.857727,54.992833
220,220,Morozovskie Bani,"Выборная, 59, Новосибирск","Morozovskie Bani по адресу Выборная, 59, Новосибирск. Минимальная стоимость в отеле 'Morozovskie Bani' за ночь: от 3202₽",82.991316,54.994951
221,221,Novaya Inn,"Ulitsa Shamshurina, 1 office 6, 630004 Novosibirsk, Russia, Новосибирск","Novaya Inn по адресу Ulitsa Shamshurina, 1 office 6, 630004 Novosibirsk, Russia, Новосибирск. Минимальная стоимость в отеле 'Novaya Inn' за ночь: от 7787₽",82.903748,55.028682
222,222,Однокомнатные апартаменты On Day на Челюскинцев 14,"улица Челюскинцев, д. 14, Новосибирск","Однокомнатные апартаменты On Day на Челюскинцев 14 по адресу улица Челюскинцев, д. 14, Новосибирск. Минимальная стоимость в отеле 'Однокомнатные апартаменты On Day на Челюскинцев 14' за ночь: от 2327₽",82.901825,55.03735
223,223,"Алатырь Новосибирск, ул. Блюхера, д. 16","Россия, 630078, Новосибирская область, Новосибирск, ул. Блюхера, д. 16, Новосибирск","Алатырь Новосибирск, ул. Блюхера, д. 16 по адресу Россия, 630078, Новосибирская область, Новосибирск, ул. Блюхера, д. 16, Новосибирск. Минимальная стоимость в отеле 'Алатырь Новосибирск, ул. Блюхера, д. 16' за ночь: от 3202₽",82.896427,54.986811
224,224,Жилые помещения AAA Elita on Gogol 32/1,"Str. Goldeneye 32/1, intercom 11, 5th floor, Novosibirsk, Novosibirsk Oblast, Russia, Новосибирск","Жилые помещения AAA Elita on Gogol 32/1 по адресу Str. Goldeneye 32/1, intercom 11, 5th floor, Novosibirsk, Novosibirsk Oblast, Russia, Новосибирск. Минимальная стоимость в отеле 'Жилые помещения AAA Elita on Gogol 32/1' за ночь: от 3202₽",82.92043,55.030204
